2017-02-27 18:18:37 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-02-27 18:18:37 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-02-27 18:18:38 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2017-02-27 18:18:38 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2017-02-27 18:18:38 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-02-27 18:18:38 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-02-27 18:18:38 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-02-27 18:18:38 status half-installed libtext-wrapi18n-perl:all 0.06-7
2017-02-27 18:18:39 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-02-27 18:18:39 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-02-27 18:18:39 install lsb-base:all <none> 4.1+Debian13+nmu1
2017-02-27 18:18:39 status half-installed lsb-base:all 4.1+Debian13+nmu1
2017-02-27 18:18:39 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-02-27 18:18:39 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-02-27 18:18:39 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:39 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:40 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:40 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:40 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:40 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:40 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:40 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-02-27 18:18:40 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2017-02-27 18:18:40 status half-configured mawk:amd64 1.3.3-17
2017-02-27 18:18:40 status unpacked mawk:amd64 1.3.3-17
2017-02-27 18:18:40 status half-installed mawk:amd64 1.3.3-17
2017-02-27 18:18:40 status half-installed mawk:amd64 1.3.3-17
2017-02-27 18:18:41 status unpacked mawk:amd64 1.3.3-17
2017-02-27 18:18:41 status unpacked mawk:amd64 1.3.3-17
2017-02-27 18:18:41 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2017-02-27 18:18:41 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:41 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:41 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:41 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2017-02-27 18:18:41 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2017-02-27 18:18:42 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
