2015-04-27 06:54:51 install gcc-4.9-base:amd64 <none> 4.9-20140406-0ubuntu1
2015-04-27 06:54:51 status half-installed gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2015-04-27 06:54:51 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2015-04-27 06:54:51 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2015-04-27 06:54:51 install grep:amd64 <none> 2.16-1
2015-04-27 06:54:51 status half-installed grep:amd64 2.16-1
2015-04-27 06:54:51 status unpacked grep:amd64 2.16-1
2015-04-27 06:54:51 status unpacked grep:amd64 2.16-1
2015-04-27 06:54:51 install gzip:amd64 <none> 1.6-3ubuntu1
2015-04-27 06:54:51 status half-installed gzip:amd64 1.6-3ubuntu1
2015-04-27 06:54:52 status unpacked gzip:amd64 1.6-3ubuntu1
2015-04-27 06:54:52 status unpacked gzip:amd64 1.6-3ubuntu1
2015-04-27 06:54:52 install hostname:amd64 <none> 3.15ubuntu1
2015-04-27 06:54:52 status half-installed hostname:amd64 3.15ubuntu1
2015-04-27 06:54:52 status unpacked hostname:amd64 3.15ubuntu1
2015-04-27 06:54:52 status unpacked hostname:amd64 3.15ubuntu1
2015-04-27 06:54:52 install ifupdown:amd64 <none> 0.7.47.2ubuntu4
2015-04-27 06:54:52 status half-installed ifupdown:amd64 0.7.47.2ubuntu4
2015-04-27 06:54:52 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2015-04-27 06:54:52 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2015-04-27 06:54:53 install initramfs-tools:all <none> 0.103ubuntu4
2015-04-27 06:54:53 status half-installed initramfs-tools:all 0.103ubuntu4
2015-04-27 06:54:53 status unpacked initramfs-tools:all 0.103ubuntu4
2015-04-27 06:54:53 status unpacked initramfs-tools:all 0.103ubuntu4
2015-04-27 06:54:53 install initramfs-tools-bin:amd64 <none> 0.103ubuntu4
2015-04-27 06:54:53 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4
2015-04-27 06:54:53 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2015-04-27 06:54:53 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
